"","tve_user_id","ft_start","ft_end"
"436",17586811,2017-08-27,2017-09-03
"437",17586458,2017-08-27,2017-09-26
"438",17587526,2017-08-27,2017-09-26
"439",17589598,2017-08-27,2017-09-26
"440",17591528,2017-08-27,2017-09-03
"441",17590669,2017-08-27,2017-09-03
"442",17592916,2017-08-27,2017-09-03
"443",17597189,2017-08-27,2017-09-03
"444",17598646,2017-08-27,2017-09-03
"445",17599426,2017-08-27,2017-09-03
"446",17604485,2017-08-27,2017-09-03
"447",17604098,2017-08-27,2017-09-03
"448",17606444,2017-08-27,2017-09-03
"449",17606853,2017-08-27,2017-09-03
"450",17607606,2017-08-27,2017-09-03
"451",17610967,2017-08-27,2017-09-03
"452",17610901,2017-08-27,2017-09-03
"453",17612094,2017-08-27,2017-09-03
"454",17612771,2017-08-27,2017-09-03
"455",17613051,2017-08-27,2017-09-26
"456",17612266,2017-08-27,2017-09-03
"457",17616374,2017-08-27,2017-09-03
"458",17616656,2017-08-27,2017-09-03
"459",17617234,2017-08-27,2017-09-26
"460",17621840,2017-08-27,2017-09-03
"461",17623034,2017-08-27,2017-09-03
"462",17623689,2017-08-27,2017-09-03
"463",17626834,2017-08-27,2017-09-03
"464",17628272,2017-08-27,2017-09-03
"465",17628590,2017-08-27,2017-09-26
"466",17634927,2017-08-27,2017-09-03
"467",17637972,2017-08-27,2017-09-03
"468",17637806,2017-08-27,2017-09-03
"469",17639379,2017-08-27,2017-09-03
"470",17643475,2017-08-27,2017-09-03
"471",17648325,2017-08-28,2017-09-04
"472",17648711,2017-08-28,2017-09-04
"473",17651663,2017-08-28,2017-09-27
"474",17657418,2017-08-29,2017-09-05
"475",17675304,2017-08-31,2017-09-07
"476",17675682,2017-08-31,2017-09-07
"477",17687195,2017-09-02,2017-09-09
"478",17688593,2017-09-02,2017-09-09
"479",17539030,2017-09-03,2017-09-10
"480",17700168,2017-09-03,2017-09-10
"481",17701607,2017-09-03,2017-09-10
"482",17705354,2017-09-04,2017-09-11
"483",17707281,2017-09-04,2017-09-11
"484",17715457,2017-09-04,2017-09-11
"485",17736443,2017-09-07,2017-09-14
"486",17739898,2017-09-08,2017-09-15
"487",17744515,2017-09-08,2017-09-15
"488",17753416,2017-09-10,2017-10-10
"489",17753590,2017-09-10,2017-09-17
"490",17753836,2017-09-10,2017-10-10
"491",17765728,2017-09-11,2017-09-18
"492",17771918,2017-09-12,2017-09-19
"493",17781111,2017-09-13,2017-09-20
"494",17789291,2017-09-15,2017-09-22
"495",17793506,2017-09-15,2017-09-22
"496",17803955,2017-09-17,2017-10-17
"497",17804393,2017-09-17,2017-10-17
"498",17615014,2017-09-17,2017-09-24
"499",17815675,2017-09-18,2017-09-25
"500",14962076,2017-01-01,2017-01-08
"501",14974240,2017-01-02,2017-01-09
"502",14974279,2017-01-02,2017-01-09
"503",14979011,2017-01-02,2017-01-09
"504",14991063,2017-01-03,2017-01-10
"505",14992201,2017-01-03,2017-01-10
"506",15001857,2017-01-03,2017-01-10
"507",15010855,2017-01-04,2017-01-11
"508",15025965,2017-01-05,2017-01-12
"509",15033248,2017-01-06,2017-01-13
"510",15034180,2017-01-06,2017-01-13
"511",15032258,2017-01-06,2017-01-13
"512",15042321,2017-01-06,2017-01-13
"513",15042345,2017-01-06,2017-01-13
"514",15049409,2017-01-07,2017-01-14
"515",14938621,2017-01-07,2017-01-14
"516",15055881,2017-01-07,2017-01-14
"517",15073435,2017-01-08,2017-01-15
"518",15078870,2017-01-08,2017-01-15
"519",15085185,2017-01-09,2017-01-16
"520",15112116,2017-01-11,2017-01-18
"521",15114081,2017-01-11,2017-01-18
"522",15133325,2017-01-12,2017-01-19
"523",10968306,2017-01-12,2017-01-19
"524",15139549,2017-01-13,2017-01-20
"525",15149094,2017-01-13,2017-01-20
"526",15150418,2017-01-14,2017-01-21
"527",15168156,2017-01-15,2017-01-22
"528",15169469,2017-01-15,2017-01-22
"529",15171832,2017-01-15,2017-01-22
"530",15181497,2017-01-15,2017-01-22
